facebook,paid_search,youtube,revenue
129934.28306022465,142455.15364197642,105458.91881985869,54226.3039760411
117234.71397657631,138397.2942780849,72669.67849432441,8642.346324233737
132953.77076201385,163794.7689004884,98631.5578533622,0.0
150460.5971281605,178320.77853565553,80711.42312757947,56802.90973624658
115316.93250553327,157171.1736033654,85088.95790443571,9624.541330696058
115317.26086101639,165288.59377926157,90714.06400300376,0.0
151584.25631014782,134564.89419233965,88207.63422410161,39687.45498976165
135348.69458305818,143135.12015347838,64858.41537760597,28942.62379860034
110610.51228130097,177143.301839991,110727.18031744975,18084.658470174723
130851.2008717193,153167.7865064557,107016.13828138346,0.0
110731.64614375075,133949.25310592962,87805.25260310805,4083.828760826009
110685.40492859486,140813.76386968436,104015.97940093627,26726.689536970887
124839.24543132068,165928.78225761376,84034.57257993038,3573.2910180456056
81734.39510684405,168155.67525810373,75267.03834383274,4973.672246665327
85501.64334973934,118946.72145950566,90816.19521300863,0.0
108754.24941518054,149064.78187617176,72466.45712272919,36590.54365211716
99743.37759331152,139803.9289361672,99135.75935224985,0.0
126284.94665190548,138361.6037974073,79461.55875840387,26970.714491410916
101839.51848957578,173257.6987607679,65999.53681150533,13888.146294220645
91753.92597329417,134061.54650265185,35591.88456242284,0.0
149312.9753784311,125610.57241812196,88094.15521703112,69116.85169474767
115484.47399026928,119625.21739078715,94810.5373460872,15125.666310370303
121350.56409375848,135636.3267198589,110066.04567214988,0.0
91505.03627573086,121618.84328054612,63974.84153624109,69246.67741744722
109112.34550949634,118380.4559365237,105137.98219563905,45878.587850127406
122218.45179419732,117750.74685832264,82692.61216237728,0.0
96980.12845155394,119236.43239733002,89075.3511789286,13358.068866828022
127513.96036691344,120979.19027456648,90086.69366612213,37204.38530760884
107987.2262016239,149976.31804146353,89843.9753919629,28086.746527246745
114166.12500413446,91000.43693482156,59504.97507622237,38036.185866071086
107965.86775541207,122456.1688004119,100737.61510981976,14927.89165619476
157045.56369017877,137496.75231604418,102517.81138424344,1409.2202043044836
119730.05550524133,168715.61550445348,104350.15970436623,18083.271399698388
98845.78142088199,133851.8240230854,97312.14180519531,0.0
136450.8982420638,136166.91580293316,86893.18788927858,5097.550763158639
95583.12700057955,137801.332400547,67979.78227706051,12594.042255874472
124177.2719000951,94407.80865555684,96728.02491661899,22473.909659814748
80806.59752240448,156477.3275231233,90578.11430227217,63796.88787092929
93436.27902203139,155435.53925528436,89963.23825320226,0.0
123937.22471738247,160362.4039821668,96609.83216937764,61200.70750712974
134769.3315999082,202646.20132570725,89323.32000821838,29083.615572690473
123427.36562379941,107536.95992531975,83339.72704051391,0.0
117687.03435223519,102799.33338485815,72300.42935134776,47728.48397497607
113977.92608821423,157646.68286497472,89912.18571287623,10245.573955902888
90429.56019265145,131562.7724703577,112100.53510847707,57542.897146297
105603.11583210583,115359.29366157649,73460.32615077704,0.0
110787.22458080425,132935.93830447577,105046.93878307322,535.1041495025547
141142.4445243783,124541.40937270698,100717.88418280068,36031.23214871029
126872.36579136923,183119.42669492916,64318.402531389474,0.0
84739.19689274533,196545.30760058254,99127.80655116709,0.0
126481.6793878959,99110.96771641335,90271.98340357827,0.0
112298.35439167367,103086.27966833409,88748.21480748763,0.0
106461.55999388083,121015.79988420232,119943.21786442072,60559.93168465921
132233.52577681735,122761.79895802471,104119.84165146886,0.0
